City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Nizhnevartovsk,60.93,76.55,3.2,-5.64,84,1022,4.47,0
Petropavl,54.88,69.16,17.6,5.79,85,1025,11.18,90
Vanavara,60.34,102.28,8.85,-2.33,94,1003,9.33,100
Paita,-5.09,-81.11,67.26,65.07,83,1014,11.03,100
Gradignan,44.77,-0.61,40.59,28.06,86,1000,17.22,90
Nueva Loja,0.08,-76.88,71.01,77.86,99,1014,2.01,100
Yatou,37.15,122.38,38.48,31.24,64,1029,5.39,5
Kavieng,-2.57,150.8,84.94,91.83,69,1008,4.72,91
Mporokoso,-9.37,30.12,72.63,76.8,80,1015,2.82,100
Sola,-13.88,167.55,86.0,97.63,84,1009,4.03,40
Pombia,45.65,8.63,37.92,28.56,93,1003,11.41,90
Leningradskiy,69.38,178.42,7.52,-1.17,86,1009,4.61,0
Woodward,36.43,-99.39,35.35,25.03,80,1025,11.41,1
Oudtshoorn,-33.59,22.2,66.2,64.04,88,1012,11.41,90
Cidreira,-30.18,-50.21,66.42,67.55,93,1013,6.87,14
Kununurra,-15.77,128.73,77.0,81.77,88,1008,8.05,40
Kiruna,67.86,20.23,17.6,10.49,92,1016,3.09,75
Homer,59.64,-151.55,35.31,31.08,100,982,2.08,90
Bhan,26.56,67.72,84.76,78.78,22,1016,7.25,0
Moindou,-21.69,165.68,86.0,88.2,58,1010,9.17,45
Lagan,45.39,47.37,26.8,12.29,92,1035,17.76,0
Indianola,41.36,-93.56,30.72,24.48,93,1017,3.98,0
Akola,20.73,77.0,85.35,80.91,25,1017,6.02,91
Teya,60.38,92.63,9.32,-1.73,90,1006,9.04,100
Gaffney,35.07,-81.65,30.99,24.48,79,1014,3.67,0
Kushmurun,52.45,64.63,17.13,5.83,95,1033,10.58,100
Standerton,-26.93,29.24,72.45,70.93,52,1021,4.76,0
Batagay-Alyta,67.8,130.41,-31.32,-39.06,82,1011,1.23,16
Caucaia,-3.74,-38.65,80.6,79.95,74,1011,16.11,40
Namatanai,-3.67,152.43,84.36,91.47,71,1009,4.65,100
Moose Factory,51.26,-80.61,17.6,7.07,92,1015,9.17,90
Villa Carlos Paz,-31.42,-64.5,63.77,64.8,81,1012,2.62,0
Thinadhoo,0.53,72.93,82.09,85.73,79,1011,11.86,100
Griffith,41.53,-87.42,34.2,26.89,80,1020,5.82,90
Vanimo,-2.67,141.3,84.74,91.6,70,1007,5.03,70
Sinnamary,5.38,-52.95,77.0,82.9,86,1011,5.37,92
Saint Anthony,45.02,-93.22,30.24,22.87,92,1018,5.82,90
Lakhi,27.85,68.7,68.0,65.77,64,1017,6.93,0
Beeville,28.4,-97.75,46.4,42.39,81,1025,3.49,1
Kirakira,-10.45,161.92,81.93,89.85,76,1009,2.89,100
Mount Isa,-20.73,139.5,95.0,86.29,11,1011,9.17,100
Udachny,66.42,112.4,-23.8,-33.3,82,997,4.47,75
Leh,34.17,77.58,29.35,21.78,80,1019,5.3,97
Agar,23.7,76.02,84.94,80.47,20,1017,3.76,44
Biak,-0.91,122.88,85.42,92.32,68,1007,4.74,62
Sergeevka,53.88,67.42,18.61,5.76,96,1029,13.58,100
Waipawa,-41.41,175.52,63.05,53.87,77,1007,19.46,100
Chiang Klang,19.29,100.86,82.4,83.3,48,1015,4.7,0
Palmerston,-12.49,130.98,89.89,93.11,62,1008,12.75,40
Victor Harbor,-35.57,138.62,63.0,60.4,59,1018,4.0,0
Māngrol,21.12,70.12,85.93,86.61,36,1015,2.01,78
Saint-Joseph,-21.37,55.62,81.05,84.31,70,1014,8.05,0
Virginia Beach,36.85,-75.98,35.35,20.46,64,1008,18.34,90
Ankang,32.68,109.02,44.01,32.23,28,1025,11.01,80
Zhuanghe,39.7,122.99,31.84,25.38,77,1028,3.6,0
Najrān,17.49,44.13,62.6,56.66,45,1026,6.93,0
Bathsheba,13.22,-59.52,73.4,76.73,83,1014,5.82,40
Gravdal,68.12,13.5,37.4,30.38,77,1013,5.82,75
Emba,48.83,58.14,9.45,1.49,89,1038,3.53,0
Mogwase,-25.18,27.27,74.03,71.29,57,1019,9.26,4
Lopare,44.64,18.84,30.2,25.74,100,1010,1.12,75
Gamba,-2.65,10.0,78.21,81.45,87,1014,11.61,100
Teahupoo,-17.83,-149.27,75.2,81.41,83,1014,2.24,75
Karratha,-20.74,116.85,93.52,89.65,41,1005,17.25,70
Seymchan,62.88,152.43,-23.48,-30.55,85,1009,0.2,100
U Thong,14.38,99.89,83.19,81.19,55,1012,13.18,98
Pionerskiy,54.95,20.23,30.09,16.56,74,1016,15.66,90
Nova Aurora,-22.87,-52.57,68.67,72.59,93,1011,3.65,26
Isahaya,32.84,130.04,53.6,43.05,46,1023,12.75,20
Ajdabiya,30.76,20.23,57.74,49.3,37,1021,8.55,0
Seoul,37.57,126.98,39.13,31.44,29,1027,3.36,1
Tianpeng,30.99,103.94,53.56,45.03,1,946,2.53,99
St. George's,12.06,-61.75,77.0,84.42,88,1013,3.36,20
Reconquista,-29.15,-59.65,61.39,60.4,82,1013,4.99,0
Rocha,-34.48,-54.33,53.8,52.81,93,1018,2.8,0
Son La,21.32,103.9,66.42,65.23,58,1018,2.82,89
Sioux Lookout,50.1,-91.92,26.6,16.92,92,1009,9.17,90
Voyvozh,62.89,54.96,23.74,14.63,98,1028,7.87,92
Shache,38.42,77.24,34.23,28.89,78,1024,2.19,100
Araouane,18.9,-3.53,63.93,54.68,28,1017,9.62,0
Sharjah city,25.36,55.4,75.69,70.5,47,1019,11.41,40
Herat Province,34.5,62.0,33.8,26.69,70,1027,4.7,90
Molina,-35.12,-71.28,53.6,51.87,81,1018,2.24,0
Revda,56.8,59.93,17.6,4.39,78,1029,13.42,0
Ugoofaaru,5.67,73.0,82.42,86.79,78,1011,10.45,0
Mehamn,71.04,27.85,33.8,24.31,74,1021,9.17,90
Ignalina,55.35,26.17,21.58,8.71,86,1028,13.67,0
Beira,-19.84,34.84,75.2,78.19,94,1017,11.41,75
Loa Janan,-0.58,117.09,91.26,99.5,56,1005,2.06,51
Laguna,38.42,-121.42,54.81,48.67,50,1022,5.82,5
Fendou,46.65,124.87,16.81,6.51,80,1023,8.21,0
Anadyr,64.75,177.48,1.4,-6.25,84,1008,2.24,30
La Asuncion,11.03,-63.86,68.0,68.23,100,1013,11.41,100
Smidovich,48.6,133.82,16.47,5.47,76,1020,9.31,0
Dingle,11.0,122.67,83.98,89.82,81,1008,10.74,89
Tamisan,6.84,126.3,81.9,86.02,80,1008,11.16,100
Teknāf,20.86,92.31,81.63,79.63,44,1014,7.81,40
Rafai,4.95,23.92,80.47,76.6,26,1013,3.8,56
Giyani,-23.3,30.72,71.33,69.15,70,1021,10.38,100
Marsá Maţrūḩ,31.35,27.25,62.64,56.12,64,1020,11.86,16
Acajutla,13.59,-89.83,77.49,77.94,65,1014,8.41,0
Price,39.6,-110.81,27.0,20.21,38,1035,1.25,0
Quincy,42.25,-71.0,28.42,22.06,81,1005,3.0,100
Bambanglipuro,-7.95,110.28,86.86,89.82,62,1005,10.4,38
Vilyuysk,63.76,121.62,-24.88,-34.2,87,1007,4.18,100
Baykit,61.67,96.37,13.51,3.16,92,999,8.32,100
Berlevåg,70.86,29.09,30.2,17.47,68,1021,13.87,75
Syas'stroy,60.14,32.57,27.14,14.38,84,1035,14.32,10
Qasigiannguit,68.82,-51.19,21.2,3.49,79,1012,21.92,100
Ilhabela,-23.78,-45.36,73.44,79.84,88,1011,1.86,100
Prokop'yevsk,53.91,86.72,12.97,0.23,95,1025,12.59,100
Carnarvon,-24.87,113.63,84.2,82.31,58,1008,14.99,0
Kahului,20.89,-156.47,70.88,72.84,82,1018,5.99,9
Morgan City,29.7,-91.21,43.72,38.53,81,1022,4.7,0
Kingsville,27.52,-97.86,45.64,39.49,70,1025,5.82,20
Rosarito,32.33,-117.03,64.31,51.53,7,1016,11.41,40
Tuatapere,-46.13,167.68,59.0,49.71,74,1003,17.0,0
Colesberg,-30.72,25.1,76.77,65.52,39,1016,20.09,100
Kelheim,48.92,11.87,29.75,22.48,92,1002,5.55,90
Golden,39.76,-105.22,37.83,26.62,21,1027,8.84,1
Tāybād,34.74,60.78,34.63,27.27,85,1030,6.35,27
College,64.86,-147.8,3.99,-4.7,86,985,4.29,59
Bintulu,3.17,113.03,89.29,97.07,70,1007,8.05,40
Abnūb,27.27,31.15,69.84,60.94,24,1020,9.28,98
Uruçuí,-7.23,-44.56,76.05,80.73,71,1011,1.81,0
Ruska Poliana,49.42,31.92,23.0,9.23,91,1029,15.7,46
Nador,35.17,-2.93,56.82,44.92,67,1016,19.46,40
Zhigansk,66.77,123.37,-28.71,-37.79,85,1010,3.65,69
San Quintín,30.48,-115.95,57.25,55.69,68,1016,1.45,84
Villa Bruzual,9.33,-69.12,72.72,78.46,88,1013,2.44,100
Dhidhdhoo,6.88,73.1,82.87,85.75,77,1011,13.15,0
Alice Springs,-23.7,133.88,90.39,77.92,11,1015,14.99,0
Nortelândia,-14.45,-56.8,70.14,75.22,89,1012,1.77,96
Saurimo,-9.66,20.39,73.04,79.27,85,1015,0.98,100
Beisfjord,68.38,17.6,26.08,17.58,100,1015,7.34,100
Necoclí,8.42,-76.79,76.84,84.45,89,1011,3.18,99
Arrondissement de Vannes,47.83,-2.5,35.29,27.7,100,1002,8.05,0
Nurota,40.56,65.69,23.0,16.21,67,1029,2.24,91
Ushtobe,45.25,77.98,23.11,17.69,94,1036,1.03,4
Poindimié,-20.93,165.33,81.37,86.11,72,1011,6.49,74
Ogulin,45.27,15.23,33.01,28.26,94,1012,1.95,100
Blagoyevo,63.37,47.92,20.91,12.13,97,1032,6.76,75
Jablanica,43.66,17.76,41.05,37.42,93,1009,2.24,75
Palu,-0.89,119.87,87.03,94.77,66,1007,3.87,100
San Fernando del Valle de Catamarca,-28.47,-65.79,61.02,56.55,72,1013,9.01,0
Townsville,-19.25,146.8,86.0,89.2,70,1008,12.75,75
Rantauprapat,2.1,99.83,85.82,93.52,70,1009,4.59,100
Iskateley,67.68,53.15,23.31,15.31,98,1022,5.82,79
Havøysund,71.0,24.66,32.95,20.35,64,1021,13.87,75
Sambava,-14.27,50.17,81.54,85.21,67,1014,6.6,67
Hinganghāt,20.57,78.83,82.4,82.67,39,1019,2.24,0
Flinders,-34.58,150.86,67.3,59.36,42,1014,11.41,40
Bekhtery,46.25,32.29,27.32,10.09,86,1023,22.37,90
Santa Lucía,27.91,-15.54,61.77,56.53,82,1025,12.75,75
Tefé,-3.35,-64.71,72.66,80.69,98,1010,1.21,99
Santa Maria,-29.68,-53.81,59.9,60.69,95,1014,3.4,56
Nemuro,43.32,145.57,33.8,26.1,55,1011,4.7,20
Tshikapa,-6.42,20.8,75.96,83.48,88,1015,2.17,100
Víctor Rosales,22.95,-102.7,47.14,43.39,81,1022,3.27,100
Uribia,11.71,-72.27,78.49,84.79,84,1011,5.44,100
Waitara,-38.92,174.25,60.01,60.71,97,1011,4.0,100
Burgos,42.34,-3.71,33.46,23.49,95,1006,11.41,75
Kazygurt,41.76,69.39,26.94,19.27,74,1029,4.7,40
Santa Rosalía,27.32,-112.28,54.61,51.62,66,1016,2.62,0
Fomboni,-12.28,43.74,81.84,86.97,68,1015,4.63,0
Brigantine,39.41,-74.36,30.42,18.93,63,1006,11.41,20
Kaeo,-35.1,173.78,72.0,68.65,74,1015,14.0,5
Pedernales,18.04,-71.74,75.85,80.33,71,1014,2.01,89
Gejiu,23.31,103.16,50.65,46.78,81,1018,4.81,89
Sørland,67.67,12.69,37.4,30.7,84,1013,5.82,75
Vardø,70.37,31.11,23.0,11.5,85,1022,11.41,20
Umm Hājar,13.3,19.7,80.67,70.09,17,1015,12.39,52
